var,age_grp,age_label,sex,race
H9C003,0,Under 5 years,0,3
H9C004,1,5 to 9 years,0,3
H9C005,2,10 to 14 years,0,3
H9C006,3,15 to 17 years,0,3
H9C007,3,18 and 19 years,0,3
H9C008,4,20 years,0,3
H9C009,4,21 years,0,3
H9C010,4,22 to 24 years,0,3
H9C011,5,25 to 29 years,0,3
H9C012,6,30 to 34 years,0,3
H9C013,7,35 to 39 years,0,3
H9C014,8,40 to 44 years,0,3
H9C015,9,45 to 49 years,0,3
H9C016,10,50 to 54 years,0,3
H9C017,11,55 to 59 years,0,3
H9C018,12,60 and 61 years,0,3
H9C019,12,62 to 64 years,0,3
H9C020,13,65 and 66 years,0,3
H9C021,13,67 to 69 years,0,3
H9C022,14,70 to 74 years,0,3
H9C023,15,75 to 79 years,0,3
H9C024,16,80 to 84 years,0,3
H9C025,17,85 years and over,0,3
H9C027,0,Under 5 years,1,3
H9C028,1,5 to 9 years,1,3
H9C029,2,10 to 14 years,1,3
H9C030,3,15 to 17 years,1,3
H9C031,3,18 and 19 years,1,3
H9C032,4,20 years,1,3
H9C033,4,21 years,1,3
H9C034,4,22 to 24 years,1,3
H9C035,5,25 to 29 years,1,3
H9C036,6,30 to 34 years,1,3
H9C037,7,35 to 39 years,1,3
H9C038,8,40 to 44 years,1,3
H9C039,9,45 to 49 years,1,3
H9C040,10,50 to 54 years,1,3
H9C041,11,55 to 59 years,1,3
H9C042,12,60 and 61 years,1,3
H9C043,12,62 to 64 years,1,3
H9C044,13,65 and 66 years,1,3
H9C045,13,67 to 69 years,1,3
H9C046,14,70 to 74 years,1,3
H9C047,15,75 to 79 years,1,3
H9C048,16,80 to 84 years,1,3
H9C049,17,85 years and over,1,3
