var,age_grp,age_label,sex,race
H9D003,0,Under 5 years,0,4
H9D004,1,5 to 9 years,0,4
H9D005,2,10 to 14 years,0,4
H9D006,3,15 to 17 years,0,4
H9D007,3,18 and 19 years,0,4
H9D008,4,20 years,0,4
H9D009,4,21 years,0,4
H9D010,4,22 to 24 years,0,4
H9D011,5,25 to 29 years,0,4
H9D012,6,30 to 34 years,0,4
H9D013,7,35 to 39 years,0,4
H9D014,8,40 to 44 years,0,4
H9D015,9,45 to 49 years,0,4
H9D016,10,50 to 54 years,0,4
H9D017,11,55 to 59 years,0,4
H9D018,12,60 and 61 years,0,4
H9D019,12,62 to 64 years,0,4
H9D020,13,65 and 66 years,0,4
H9D021,13,67 to 69 years,0,4
H9D022,14,70 to 74 years,0,4
H9D023,15,75 to 79 years,0,4
H9D024,16,80 to 84 years,0,4
H9D025,17,85 years and over,0,4
H9D027,0,Under 5 years,1,4
H9D028,1,5 to 9 years,1,4
H9D029,2,10 to 14 years,1,4
H9D030,3,15 to 17 years,1,4
H9D031,3,18 and 19 years,1,4
H9D032,4,20 years,1,4
H9D033,4,21 years,1,4
H9D034,4,22 to 24 years,1,4
H9D035,5,25 to 29 years,1,4
H9D036,6,30 to 34 years,1,4
H9D037,7,35 to 39 years,1,4
H9D038,8,40 to 44 years,1,4
H9D039,9,45 to 49 years,1,4
H9D040,10,50 to 54 years,1,4
H9D041,11,55 to 59 years,1,4
H9D042,12,60 and 61 years,1,4
H9D043,12,62 to 64 years,1,4
H9D044,13,65 and 66 years,1,4
H9D045,13,67 to 69 years,1,4
H9D046,14,70 to 74 years,1,4
H9D047,15,75 to 79 years,1,4
H9D048,16,80 to 84 years,1,4
H9D049,17,85 years and over,1,4
