var,age_grp,age_label,sex,race
H9H003,0,Under 5 years,0,8
H9H004,1,5 to 9 years,0,8
H9H005,2,10 to 14 years,0,8
H9H006,3,15 to 17 years,0,8
H9H007,3,18 and 19 years,0,8
H9H008,4,20 years,0,8
H9H009,4,21 years,0,8
H9H010,4,22 to 24 years,0,8
H9H011,5,25 to 29 years,0,8
H9H012,6,30 to 34 years,0,8
H9H013,7,35 to 39 years,0,8
H9H014,8,40 to 44 years,0,8
H9H015,9,45 to 49 years,0,8
H9H016,10,50 to 54 years,0,8
H9H017,11,55 to 59 years,0,8
H9H018,12,60 and 61 years,0,8
H9H019,12,62 to 64 years,0,8
H9H020,13,65 and 66 years,0,8
H9H021,13,67 to 69 years,0,8
H9H022,14,70 to 74 years,0,8
H9H023,15,75 to 79 years,0,8
H9H024,16,80 to 84 years,0,8
H9H025,17,85 years and over,0,8
H9H027,0,Under 5 years,1,8
H9H028,1,5 to 9 years,1,8
H9H029,2,10 to 14 years,1,8
H9H030,3,15 to 17 years,1,8
H9H031,3,18 and 19 years,1,8
H9H032,4,20 years,1,8
H9H033,4,21 years,1,8
H9H034,4,22 to 24 years,1,8
H9H035,5,25 to 29 years,1,8
H9H036,6,30 to 34 years,1,8
H9H037,7,35 to 39 years,1,8
H9H038,8,40 to 44 years,1,8
H9H039,9,45 to 49 years,1,8
H9H040,10,50 to 54 years,1,8
H9H041,11,55 to 59 years,1,8
H9H042,12,60 and 61 years,1,8
H9H043,12,62 to 64 years,1,8
H9H044,13,65 and 66 years,1,8
H9H045,13,67 to 69 years,1,8
H9H046,14,70 to 74 years,1,8
H9H047,15,75 to 79 years,1,8
H9H048,16,80 to 84 years,1,8
H9H049,17,85 years and over,1,8
