var,age_grp,age_label,sex,race
H9E003,0,Under 5 years,0,5
H9E004,1,5 to 9 years,0,5
H9E005,2,10 to 14 years,0,5
H9E006,3,15 to 17 years,0,5
H9E007,3,18 and 19 years,0,5
H9E008,4,20 years,0,5
H9E009,4,21 years,0,5
H9E010,4,22 to 24 years,0,5
H9E011,5,25 to 29 years,0,5
H9E012,6,30 to 34 years,0,5
H9E013,7,35 to 39 years,0,5
H9E014,8,40 to 44 years,0,5
H9E015,9,45 to 49 years,0,5
H9E016,10,50 to 54 years,0,5
H9E017,11,55 to 59 years,0,5
H9E018,12,60 and 61 years,0,5
H9E019,12,62 to 64 years,0,5
H9E020,13,65 and 66 years,0,5
H9E021,13,67 to 69 years,0,5
H9E022,14,70 to 74 years,0,5
H9E023,15,75 to 79 years,0,5
H9E024,16,80 to 84 years,0,5
H9E025,17,85 years and over,0,5
H9E027,0,Under 5 years,1,5
H9E028,1,5 to 9 years,1,5
H9E029,2,10 to 14 years,1,5
H9E030,3,15 to 17 years,1,5
H9E031,3,18 and 19 years,1,5
H9E032,4,20 years,1,5
H9E033,4,21 years,1,5
H9E034,4,22 to 24 years,1,5
H9E035,5,25 to 29 years,1,5
H9E036,6,30 to 34 years,1,5
H9E037,7,35 to 39 years,1,5
H9E038,8,40 to 44 years,1,5
H9E039,9,45 to 49 years,1,5
H9E040,10,50 to 54 years,1,5
H9E041,11,55 to 59 years,1,5
H9E042,12,60 and 61 years,1,5
H9E043,12,62 to 64 years,1,5
H9E044,13,65 and 66 years,1,5
H9E045,13,67 to 69 years,1,5
H9E046,14,70 to 74 years,1,5
H9E047,15,75 to 79 years,1,5
H9E048,16,80 to 84 years,1,5
H9E049,17,85 years and over,1,5
