var,age_grp,age_label,sex,race
H9G003,0,Under 5 years,0,7
H9G004,1,5 to 9 years,0,7
H9G005,2,10 to 14 years,0,7
H9G006,3,15 to 17 years,0,7
H9G007,3,18 and 19 years,0,7
H9G008,4,20 years,0,7
H9G009,4,21 years,0,7
H9G010,4,22 to 24 years,0,7
H9G011,5,25 to 29 years,0,7
H9G012,6,30 to 34 years,0,7
H9G013,7,35 to 39 years,0,7
H9G014,8,40 to 44 years,0,7
H9G015,9,45 to 49 years,0,7
H9G016,10,50 to 54 years,0,7
H9G017,11,55 to 59 years,0,7
H9G018,12,60 and 61 years,0,7
H9G019,12,62 to 64 years,0,7
H9G020,13,65 and 66 years,0,7
H9G021,13,67 to 69 years,0,7
H9G022,14,70 to 74 years,0,7
H9G023,15,75 to 79 years,0,7
H9G024,16,80 to 84 years,0,7
H9G025,17,85 years and over,0,7
H9G027,0,Under 5 years,1,7
H9G028,1,5 to 9 years,1,7
H9G029,2,10 to 14 years,1,7
H9G030,3,15 to 17 years,1,7
H9G031,3,18 and 19 years,1,7
H9G032,4,20 years,1,7
H9G033,4,21 years,1,7
H9G034,4,22 to 24 years,1,7
H9G035,5,25 to 29 years,1,7
H9G036,6,30 to 34 years,1,7
H9G037,7,35 to 39 years,1,7
H9G038,8,40 to 44 years,1,7
H9G039,9,45 to 49 years,1,7
H9G040,10,50 to 54 years,1,7
H9G041,11,55 to 59 years,1,7
H9G042,12,60 and 61 years,1,7
H9G043,12,62 to 64 years,1,7
H9G044,13,65 and 66 years,1,7
H9G045,13,67 to 69 years,1,7
H9G046,14,70 to 74 years,1,7
H9G047,15,75 to 79 years,1,7
H9G048,16,80 to 84 years,1,7
H9G049,17,85 years and over,1,7
