var,age_grp,age_label,sex,race
H9I003,0,Under 5 years,0,9
H9I004,1,5 to 9 years,0,9
H9I005,2,10 to 14 years,0,9
H9I006,3,15 to 17 years,0,9
H9I007,3,18 and 19 years,0,9
H9I008,4,20 years,0,9
H9I009,4,21 years,0,9
H9I010,4,22 to 24 years,0,9
H9I011,5,25 to 29 years,0,9
H9I012,6,30 to 34 years,0,9
H9I013,7,35 to 39 years,0,9
H9I014,8,40 to 44 years,0,9
H9I015,9,45 to 49 years,0,9
H9I016,10,50 to 54 years,0,9
H9I017,11,55 to 59 years,0,9
H9I018,12,60 and 61 years,0,9
H9I019,12,62 to 64 years,0,9
H9I020,13,65 and 66 years,0,9
H9I021,13,67 to 69 years,0,9
H9I022,14,70 to 74 years,0,9
H9I023,15,75 to 79 years,0,9
H9I024,16,80 to 84 years,0,9
H9I025,17,85 years and over,0,9
H9I027,0,Under 5 years,1,9
H9I028,1,5 to 9 years,1,9
H9I029,2,10 to 14 years,1,9
H9I030,3,15 to 17 years,1,9
H9I031,3,18 and 19 years,1,9
H9I032,4,20 years,1,9
H9I033,4,21 years,1,9
H9I034,4,22 to 24 years,1,9
H9I035,5,25 to 29 years,1,9
H9I036,6,30 to 34 years,1,9
H9I037,7,35 to 39 years,1,9
H9I038,8,40 to 44 years,1,9
H9I039,9,45 to 49 years,1,9
H9I040,10,50 to 54 years,1,9
H9I041,11,55 to 59 years,1,9
H9I042,12,60 and 61 years,1,9
H9I043,12,62 to 64 years,1,9
H9I044,13,65 and 66 years,1,9
H9I045,13,67 to 69 years,1,9
H9I046,14,70 to 74 years,1,9
H9I047,15,75 to 79 years,1,9
H9I048,16,80 to 84 years,1,9
H9I049,17,85 years and over,1,9
