var,age_grp,age_label,sex,race
H9A003,0,Under 5 years,0,1
H9A004,1,5 to 9 years,0,1
H9A005,2,10 to 14 years,0,1
H9A006,3,15 to 17 years,0,1
H9A007,3,18 and 19 years,0,1
H9A008,4,20 years,0,1
H9A009,4,21 years,0,1
H9A010,4,22 to 24 years,0,1
H9A011,5,25 to 29 years,0,1
H9A012,6,30 to 34 years,0,1
H9A013,7,35 to 39 years,0,1
H9A014,8,40 to 44 years,0,1
H9A015,9,45 to 49 years,0,1
H9A016,10,50 to 54 years,0,1
H9A017,11,55 to 59 years,0,1
H9A018,12,60 and 61 years,0,1
H9A019,12,62 to 64 years,0,1
H9A020,13,65 and 66 years,0,1
H9A021,13,67 to 69 years,0,1
H9A022,14,70 to 74 years,0,1
H9A023,15,75 to 79 years,0,1
H9A024,16,80 to 84 years,0,1
H9A025,17,85 years and over,0,1
H9A027,0,Under 5 years,1,1
H9A028,1,5 to 9 years,1,1
H9A029,2,10 to 14 years,1,1
H9A030,3,15 to 17 years,1,1
H9A031,3,18 and 19 years,1,1
H9A032,4,20 years,1,1
H9A033,4,21 years,1,1
H9A034,4,22 to 24 years,1,1
H9A035,5,25 to 29 years,1,1
H9A036,6,30 to 34 years,1,1
H9A037,7,35 to 39 years,1,1
H9A038,8,40 to 44 years,1,1
H9A039,9,45 to 49 years,1,1
H9A040,10,50 to 54 years,1,1
H9A041,11,55 to 59 years,1,1
H9A042,12,60 and 61 years,1,1
H9A043,12,62 to 64 years,1,1
H9A044,13,65 and 66 years,1,1
H9A045,13,67 to 69 years,1,1
H9A046,14,70 to 74 years,1,1
H9A047,15,75 to 79 years,1,1
H9A048,16,80 to 84 years,1,1
H9A049,17,85 years and over,1,1
